Stock quote and option quote for GM on 6/14/19 21:48:00

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
35.66,N,-.36,35.53,P,35.76,P,4 x 7,"4,953,403",35.88,35.99,35.54

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.26%,5.669,.38,Q,6/6/19,45.00,30.56,"1,418,392,900",1.18

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,GM190920C49,0,62,25.92%,.08852347,.010,.005,.005,-.001,.001,.02,P,.015,.02,0,35,0.69%,99.31%,1.43%,0.16%,138.17%,0,D,.03,W,20 SEP 19,49,13.20,B,13.90,H,GM190920P49,0,5,34.04%,13.86,-.948,.014,.016,-.004,-.128,9.95,A,13.550,9.95,48,34,97.21%,2.79%,5.86%,2.17%,<empty>,,
,,GM190920C50,0,257,27.26%,.08977123,.009,.005,.005,-.001,.001,.01,E,.015,.01,0,132,0.64%,99.36%,1.32%,0.16%,148.51%,0,D,.03,H,20 SEP 19,50,14.05,H,14.80,B,GM190920P50,0,15,0.02%,14.52,-1.000,.00,1.056,.00,.00,11.75,I,14.425,11.75,53,48,100.00%,0.00%,0.00%,0.88%,<empty>,,

20 DEC 19  (189)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,GM191220C22,0,0,55.72%,14.16,.895,.008,.034,-.004,.030,0, ,13.875,0,21,36,83.51%,16.49%,29.69%,1.16%,1.16%,13.80,X,13.95,X,20 DEC 19,22,.17,H,.19,Z,GM191220P22,0,50,40.60%,.36203483,-.038,.008,.021,-.002,-.008,.23,B,.180,.23,69,23,7.12%,92.88%,13.23%,0.97%,<empty>,,
,,GM191220C23,0,0,49.97%,13.10,.899,.010,.034,-.004,.032,0, ,12.850,0,48,31,84.32%,15.68%,28.49%,1.02%,1.02%,12.70,B,13.00,X,20 DEC 19,23,.20,M,.22,Z,GM191220P23,0,0,38.64%,.40759239,-.046,.010,.025,-.003,-.010,0, ,.210,0,145,19,8.13%,91.87%,15.11%,1.13%,<empty>,,
,,GM191220C24,0,0,48.05%,12.22,.890,.012,.039,-.004,.040,0, ,11.950,0,23,36,82.62%,17.38%,31.57%,1.56%,1.56%,11.85,X,12.05,X,20 DEC 19,24,.25,H,.27,I,GM191220P24,0,23,37.24%,.48127711,-.057,.012,.029,-.003,-.012,.32,X,.260,.32,133,45,9.66%,90.34%,17.95%,1.40%,<empty>,,
,,GM191220C25,0,2,44.29%,11.24,.886,.015,.041,-.004,.045,11.65,X,10.975,11.65,21,21,82.10%,17.90%,32.64%,1.70%,1.70%,10.90,X,11.05,X,20 DEC 19,25,.31,W,.33,W,GM191220P25,0,61,35.86%,.56642054,-.070,.015,.035,-.003,-.015,.31,Z,.320,.31,55,126,11.44%,88.56%,21.23%,1.73%,<empty>,,
,,GM191220C26,0,0,42.40%,10.36,.872,.018,.047,-.004,.052,0, ,10.075,0,54,92,80.12%,19.88%,36.24%,2.24%,2.24%,10.00,W,10.15,X,20 DEC 19,26,.38,M,.40,N,GM191220P26,0,99,34.43%,.66069445,-.086,.018,.040,-.004,-.018,.53,C,.390,.53,102,19,13.44%,86.56%,24.91%,2.10%,<empty>,,
